ORGANIZATION NAME,CONTACT JOB DEPARTMENTS,INDUSTRIES,HEADQUARTERS LOCATION,COUNTRY,DESCRIPTION,FOUNDED DATE,FOUNDED DATE PRECISION,FOUNDERS,NUMBER OF EMPLOYEES,FUNDING STATUS,LAST FUNDING DATE,LAST FUNDING TYPE,NUMBER OF INVESTMENTS,NUMBER OF EXITS,INDUSTRY GROUPS,IPO STATUS,IPO DATE,DELISTED DATE,DELISTED DATE PRECISION,MONEY RAISED AT IPO,MONEY RAISED AT IPO CURRENCY,MONEY RAISED AT IPO CURRENCY (IN USD),VALUATION AT IPO,VALUATION AT IPO CURRENCY,VALUATION AT IPO CURRENCY (IN USD),STOCK EXCHANGE,DIVERSITY SPOTLIGHT (US HEADQUARTERS ONLY),NUMBER OF DIVERSITY INVESTMENTS,TRANSACTION NAME,ACQUIRED BY,ANNOUNCED DATE,ANNOUNCED DATE PRECISION,PRICE,PRICE CURRENCY,PRICE CURRENCY (IN USD),LAST LEADERSHIP HIRING DATE,CB RANK (ORGANIZATION),CB RANK (COMPANY),CB RANK (SCHOOL),LAST LAYOFF MENTION DATE,HEADQUARTERS REGIONS,ESTIMATED REVENUE RANGE,OPERATING STATUS,WEBSITE,TWITTER,FACEBOOK,LINKEDIN,CONTACT EMAIL,PHONENUMBER,NUMBER OF ARTICLES,HUB TAGS,FULL DESCRIPTION,ACTIVELY HIRING,INVESTMENT STAGE,NUMBER OF FOUNDERS (ALUMNI),NUMBER OF FOUNDERS,NUMBER OF FUNDING ROUNDS,TOTAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT CURRENCY,TOTAL FUNDING AMOUNT CURRENCY (IN USD),NUMBER OF ACQUISITIONS,STOCK SYMBOL,SIMILAR COMPANIES,SEMRUSH - MONTHLY VISITS,SEMRUSH - AVERAGE VISITS (6 MONTHS),SEMRUSH - VISIT DURATION,SEMRUSH - MONTHLY VISITS GROWTH,SEMRUSH - VISIT DURATION GROWTH,SEMRUSH - PAGE VIEWS / VISIT,SEMRUSH - PAGE VIEWS / VISIT GROWTH,SEMRUSH - BOUNCE RATE,SEMRUSH - BOUNCE RATE GROWTH,SEMRUSH - GLOBAL TRAFFIC RANK,SEMRUSH - MONTHLY RANK CHANGE (#),SEMRUSH - MONTHLY RANK GROWTH,ABERDEEN - IT SPEND,ABERDEEN - IT SPEND CURRENCY,ABERDEEN - IT SPEND CURRENCY (IN USD),IPQWERY - PATENTS GRANTED,IPQWERY - TRADEMARKS REGISTERED,IPQWERY - MOST POPULAR PATENT CLASS,IPQWERY - MOST POPULAR TRADEMARK CLASS,APPTOPIA - NUMBER OF APPS,APPTOPIA - DOWNLOADS LAST 30 DAYS,ORGANIZATION NAME,INDUSTRY LINKEDIN,WEBSITE,COMPANYLINKEDINURL,FACEBOOKURL,TWITTER URL,COMPANY STREET,COMPANY CITY,COMPANY STATE,COMPANY COUNTRY,COMPANY POSTAL CODE,COMPANY ADDRESS,KEYWORDS,COMPANY PHONE,SEO DESCRIPTION,TECHNOLOGIES,SIC CODES,SHORT DESCRIPTION
"Não é à toa que nosso nome é inspirado em uma das mais importantes obras de Da Vinci – O Homem Vitruviano –, que mudou o futuro da humanidade com contribuições nas mais diversas áreas do saber. Vitru também tem a ver com vidro, com a nossa transparência nas relações a distância, refletindo cada aluno para uma educação mais assertiva.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trazemos modelos de aprendizado flexíveis, que respeitam e se adaptam à trajetória única do estudante. Disponibilizamos cursos EAD 24 horas por dia e presenciais sempre que cada um dos nossos mais de 400 mil alunos precisa. De norte a sul, de leste a oeste. Estamos por todos os lados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
É este estímulo que faz a diferença e torna experiências mais acolhedoras e possíveis de serem completadas. Equilibrar o lado humano e as plataformas tecnológicas é a fórmula para destravar o potencial de cada um.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitru,,"E-Learning, EdTech, Education","Florianópolis, Santa Catarina, Brazil",Brazil,Vitru provides online and tutored post-secondary education services in Brazil.,1/1/1999,year,,1.001 to 5.000,IPO,9/27/2022,Post-IPO Equity,,,"Education, Software",Public,9/17/2020,,,"96,000,000",USD,"96,000,000","368,900,000",USD,"368,900,000",NASDAQ,,,,,,,,,,,"20,347","20,277",,,Latin America,$100M to $500M,Active,vitru.com.br/,twitter.com/vitrueducation,,linkedin.com/company/vitrueducation/,ir@vitru.com.br,,15,,Vitru offers distance learning education group in the postsecondary digital education market in Brazil based on the number of enrolled undergraduate students.,,,,,1,"300,000,000",BRL,"55,766,228",,VTRU,86,578,"2,222.17",0,-2.53%,"0,265",1,0,1,0,"6,703,656","-391,99",-5.52%,,,,,,,,1,,Vitru,Higher Education,vitru.com.br,linkedin.com/company/vitrueducation,facebook.com/vitrueducation/,twitter.com/vitrueducation,212 Rodovia José Carlos Daux,Florianópolis,Santa Catarina,Brazil,88030-000,"212 Rodovia José Carlos Daux, Florianópolis, State of Santa Catarina, Brazil, 88030-000",,558667961288,,"Route 53, Outlook, Microsoft Office 365, Google Maps (Non Paid Users), YouTube, WordPress.org, Google Tag Manager, Google Maps, Bootstrap Framework, reCAPTCHA, Nginx, Mobile Friendly, Vimeo, Google Font API, New Relic",,Educação que chega e leva mais longe.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Não é à toa que nosso nome é inspirado em uma das mais importantes obras de Da Vinci – O Homem Vitruviano –, que mudou o futuro da humanidade com contribuições nas mais diversas áreas do saber. Vitru também tem a ver com vidro, com a nossa transparência nas relações a distância, refletindo cada aluno para uma educação mais assertiva.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trazemos modelos de aprendizado flexíveis, que respeitam e se adaptam à trajetória única do estudante. Disponibilizamos cursos EAD 24 horas por dia e presenciais sempre que cada um dos nossos mais de 400 mil alunos precisa. De norte a sul, de leste a oeste. Estamos por todos os lados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
É este estímulo que faz a diferença e torna experiências mais acolhedoras e possíveis de serem completadas. Equilibrar o lado humano e as plataformas tecnológicas é a fórmula para destravar o potencial de cada um.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Netshoes,"Finance, Operations, Product","E-Commerce, Fashion, Shopping, Sporting Goods","Brasil, Sao Paulo, Brazil",Brazil,Netshoes is a Brazilian company selling sporting goods through the internet.,1/1/2000,year,Olivier Détour,1.001 to 5.000,M&A,4/2/2015,Venture - Series Unknown,,,"Clothing and Apparel, Commerce and Shopping, Design, Sports",Public,4/12/2017,,,"148,500,000",USD,"148,500,000","558,450,000",USD,"558,450,000",NYSE - New York Stock Exchange,,,Grupo Netshoes acquired by Magazine Luiza,Magazine Luiza,4/30/2019,day,"62,000,000",USD,"62,000,000",,"50,208","49,889",,,Latin America,$500M to $1B,Active,netshoes.com.br,twitter.com/sigaNetshoes,facebook.com/Netshoes,linkedin.com/company/gruponetshoes,,551130285333,21,,"Netshoes is a Brazilian company that sells sporting goods through the Internet. The company is one of the largest stores of its kind. Founded in 2000 by Marcio Kumruian, Netshoes appeared in a parking lot in downtown São Paulo. Twelve years later, the shop, which sold shoes, has become the largest online sporting equipment operation in Brazil.",,,,1,3,"214,999,816",USD,"214,999,816",,NETS,4,"16,197,577","17,866,278.83",593,-22.27%,-2.15%,3.39,2.57%,53.66%,-3.05%,"6,432","1,562",32.07%,,,,,,,,,,Grupo Netshoes,Retail,netshoes.com.br,linkedin.com/company/na-netshoes,facebook.com/Netshoes,twitter.com/Netshoes,,Campinas,São Paulo,Brazil,,"Campinas, State of São Paulo, Brazil",,5518007363001,"Encontre roupas, suplementos, tênis, chuteiras e mais na Netshoes, sua loja de artigos esportivos com preços incríveis. Visite-nos agora e aproveite!","Route 53, Gmail, Google Apps, Drupal, ExactTarget, Zendesk, GitHub Hosting, Lotame, Twitter Advertising, RTB House, Google Tag Manager, Google Analytics, Rubicon Project, DoubleClick Floodlight, Facebook Custom Audiences, Visual Website Optimizer, Quantcast, AppNexus, YouTube, Kenshoo, reCAPTCHA, Google Analytics Ecommerce Tracking, Flashtalking, Bing Ads, Facebook Login (Connect), Yahoo Analytics, Integral Ad Science, DoubleVerify, Facebook Widget, Google Maps (Non Paid Users), Nginx, 33Across, Taboola, Google Maps, Google Dynamic Remarketing, TripleLift, DoubleClick, New Relic, Yahoo Ad Manager Plus, AngularJS, Google Plus, Linkshare, Open AdStream (Appnexus), OpenX - Exchange, Google Play, Criteo, Adobe Media Optimizer, Adform, Google Font API, Mobile Friendly, DoubleClick Conversion, Google AdSense, Amadesa, Hotjar, Amazon Associates, Google AdWords Conversion, Render",5990,"Netshoes is an online retail marketplace that sells clothing, supplements, sneakers, cleats and accessories."
Vista Oil & Gas,"Engineering, Finance, Information Technology, Legal, Operations","Energy, Oil and Gas","Lomas De Chapultepec, Distrito Federal, Mexico",Mexico,"Vista Oil & Gas is a latin american oil and gas company. Focus is Latin America, mainly Mexico, Argentina, Brazil and Colombia.",1/1/2017,year,,251 to 500,IPO,,,,,"Energy, Natural Resources",Public,7/25/2019,,,"93,000,000",USD,"93,000,000","794,500,000",USD,"794,500,000",NYSE - New York Stock Exchange,,,,,,,,,,,"373,082","362,563",,,Latin America,,Active,vistaoilandgas.com,,,in.linkedin.com/company/vistaoilandgas,,,12,,"Vista Oil & Gas is a latin american oil and gas company. Focus is Latin America, mainly Mexico, Argentina, Brazil and Colombia.",,,,,,,,,,VIST,2,,,,,,,,,,,,,,,,,,,,,,Vista Oil & Gas,Oil & Energy,vistaoilandgas.com,linkedin.com/company/drapper,,,1210 Avenida Javier Barros Sierra,,Mexico City,Mexico,1260,"1210 Avenida Javier Barros Sierra, Mexico City, Mexico, 01260",,525591772038,,"Outlook, Microsoft Office 365",,"Vista Oil & Gas is a new generation publicly traded Latin-American oil and gas company. The company is led by Miguel Galuccio, Chairman and CEO, along with a team of experienced executives from the oil and gas industry, who carry out a fast and flexible work methodology. Currently the company has operations in Argentina and Mexico, and continues evaluating opportunities in Brazil and Colombia, as these four present the opportunity to develop world-class assets."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Success in the acquisition and development of assets in this region requires a mix of technical and operational experience, broad industry network, and proven leadership in the energy industry. Features which stand out in the Vista Oil & Gas leadership team.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vista Oil & Gas aspires to be the leading publicly-traded oil & gas company of the region. In order to achieve this, it already launched development operations in Vaca Muerta, Argentina, a world-class play in which Miguel Galuccio was a pioneer, leading a boost in its development since 2012. The Vista Oil & Gas team, driven by its purpose of becoming a partner of choice for the development of unconventional hydrocarbons in the region, is formed by high-calibre professionals with unparalleled experience in Vaca Muerta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infracommerce,"Engineering, Finance, Management, Medical & Science, Operations, Product, Sales, Support","B2B, B2C, E-Commerce, E-Commerce Platforms, Internet, Logistics, Payments","São Paulo, Sao Paulo, Brazil",Brazil,"Infracommerce offers E-commerce platforms / technology as well as services in logistics, online payment and big data across Latin America",1/1/2012,year,"Francisco Forbes, Kai Schoppen, Ricardo Paola, Vasco Crivelli Visconti, Yuri Moreno",1.001 to 5.000,IPO,9/30/2022,Post-IPO Equity,,,"Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Transportation",Public,5/4/2021,,,"200,000,000",USD,"200,000,000","800,000,000",USD,"800,000,000",B3 - Brazil Stock Exchange and OTC Market,,,,,,,,,,,"9,237","9,21",,,Latin America,,Active,infracommerce.com.br,twitter.com/infracommerce,facebook.com/pg/infracommerce,linkedin.com/company/infracommerce,contato@infracommerce.com.br,551138481300,50,,"Infracommerce is a full-service e-commerce and is established in 2012 with the objective of providing technology and management solutions for retail and industry. Based in Brazil, Infracommerce brings together the expertise of professionals with over twenty years experience, more than 4500 employees divided into three business units. The company's mission is to provide services and systems that enable the retailer a greater efficiency and scale while selling online. Infracommerce excels because of the constant search for technological innovation, improvement of services, and a model that optimizes the actions of customers generating greater sales performance and ecosystem efficiency.",,,,5,10,"90,841,000",USD,"90,841,000",5,IFCM3,8,"111,822","52,632.33",226,271.93%,-81.04%,1.72,23.11%,70.65%,-2.46%,"329,953","-498,428",-60.17%,,,,,,,,,,Infracommerce,Information Technology & Services,infracommerce.com.br,linkedin.com/company/infracommerce,facebook.com/infracommerce/,twitter.com/infracommerce,12901 Avenida das Nações Unidas,São Paulo,São Paulo,Brazil,04576-000,"12901 Avenida das Nações Unidas, São Paulo, State of São Paulo, Brazil, 04576-000","logistica armazenamento e distribuicao, storage & distribution, call center especializado, specialized call center, marketing digital, performance, foto e video, photo & video, gateway de pagamento, payment gateway, plataforma multicanal, platform, full commerce, full service, ecommerce",551138481300,,"Gmail, Google Apps, Amazon AWS, Route 53, Outlook, Microsoft Office 365, VueJS, Atlassian Cloud, React Redux, React, DigitalOcean, Salesforce, Freshdesk, ExactTarget, Pipedrive, Google Analytics Ecommerce Tracking, Linkedin Marketing Solutions, Varnish, YouTube, Mobile Friendly, Facebook Widget, Google Tag Manager, Typekit, Facebook Custom Audiences, Apache, Ubuntu, reCAPTCHA, WordPress.org, Google Analytics, Facebook Login (Connect), Google Font API, Bootstrap Framework, Hotjar, Google Workspace",7372,"A Infracommerce é líder e pioneira em full commerce. Somos o maior ecossistema independente e integrado que combina tecnologia, serviços e infraestrutura para digitalizar os canais de vendas."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interessado(a) em ser #Infra, consulte nossas vagas: https://jobs.kenoby.com/infracommerce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satellogic,"Engineering, Finance, Management, Marketing, Operations, Product, Sales","Geospatial, Information Technology, Software","Montevideo, NA - Uruguay, Uruguay",Uruguay,Satellogic will democratize access to space-based services by dramatically reducing the barriers to obtain real-time satellite data.,1/1/2010,year,"Andrew Fursman, Emiliano Kargieman, Gerardo Richarte, Gerardo Richarte",251 to 500,IPO,1/26/2022,Post-IPO Equity,,,"Data and Analytics, Information Technology, Navigation and Mapping, Software",Public,1/26/2022,,,"262,000,000",USD,"262,000,000","850,000,000",USD,"850,000,000",NASDAQ,,,,,,,,,,2/11/2021,"5,875","5,86",,1/2/2023,Latin America,$1M to $10M,Active,satellogic.com,twitter.com/Satellogic,facebook.com/satellogic,linkedin.com/company/satellogic,info@satellogic.com,,64,,"Satellogic is the first company to develop a scalable earth observation platform with the ability to remap the entire planet at both high-frequency and high-resolution. The company's low-Earth-orbit satellite constellation, platform, and data science teams work together to deliver high-frequency, high resolution, end-to-end solutions at the right price point.",,,,4,9,"393,800,000",USD,"393,800,000",,SATL,9,"8,108","20,953",8,-15.72%,-74.19%,1.14,-38.33%,89.23%,57.15%,"2,005,153","183,933",10.1%,,,,,,,,,,Satellogic,,,,,,,,,,,,,,,,,
Semantix,"Operations, Product","Analytics, Artificial Intelligence, Cloud Data Services, Data Integration, Developer Platform, Information Technology, Machine Learning, Predictive Analytics, SaaS, Software","São Paulo, Sao Paulo, Brazil",Brazil,Semantix creates data products with smart technologies and talented people.,1/1/2010,year,"Leonardo Dias, Leonardo Santos",251 to 500,IPO,8/4/2022,Post-IPO Equity,,,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",Public,8/4/2022,,,"230,000,000",USD,"230,000,000","1,000,000,000",USD,"1,000,000,000",NASDAQ,,,,,,,,,,,"21,439","21,357",,,Latin America,,Active,,twitter.com/SemantixBR,facebook.com/SemantixBR,linkedin.com/company/semantix-brasil,ls@semantix.inc,551150822656,3,,"Semantix is a software platform company that specializes in Big Data, Artificial Intelligence and Data Analytics. We deliver a one-stop-shop platform to helps customers unify their analytics across the business, data science, and data engineering provides a Truly unified Data Platform for data science teams to collaborate with data engineering and lines of business to build data products without friction and simply.",,,,2,5,"109,000,000",USD,"109,000,000",5,STIX,8,,,,,,,,,,,,,,,,0,0,,Scientific and electric apparatus and instruments,,,Semantix,,,,,,,,,,,,,,,,,
